id,name,original_language,rating,rating_votes,release_freq,activity_all_time_rank,activity_month_rank,activity_week_rank,on_reading_lists,reading_list_all_time_rank,reading_list_month_rank
28044,The Bad Man System Collapse,chinese,4.3,90,4.5,1868,593,1404,1770,3539,1665
28046,Martial Arts Reigns,chinese,3.6,16,101.3,8770,2000,2000,219,9958,8586
28054,"Beyond Time, Living in Sengoku",japanese,2.4,7,88.6,11141,2000,2000,157,10676,6358
28055,Taikakusen-jō no Maō-san,japanese,4.4,7,236.3,10588,2000,2000,238,9754,10282
28057,"Watashi wa, Mobu Kyara",japanese,3.6,18,354.5,7519,2000,2000,723,6292,6101
28060,Married To The Male Lead’s Father,chinese,4.2,214,20.3,666,1172,266,5492,892,480
28072,Conquer the World,chinese,3.7,60,27.3,3787,2000,2000,566,7090,1730
28075,Man of Dungeon,japanese,3.1,7,354,9810,2000,2000,191,10278,5294
28078,Reincarnated Maid is About To Be Captured by All Players,chinese,4.1,61,54.4,4236,3123,2314,1495,4070,2145
28080,Transformed into a Gorgeous Beauty,chinese,3,22,353.5,8668,2000,6928,400,8196,9553
28086,"Transmigrated Canon Fodder, Please Calm Down!",chinese,4.1,129,32.2,1624,2205,1234,2699,2359,1913
28089,My Hubby Frequently Loses His Memory,chinese,4,59,1.2,5518,5219,6928,1141,4838,5891
28093,Sick Petty Guy Please Let Go,chinese,3.6,16,707,9614,2000,2000,269,9418,9750
28096,"He’s Not My Shadow Guard, He’s My Lover",chinese,4.1,163,0.9,3577,1373,4705,2205,2874,2266
28098,Ryusousha ha Shizukani Kurashitai,japanese,3.9,98,42.9,1679,2000,5067,1829,3431,3337
28101,Silent Lover,chinese,3.8,144,11.5,2345,909,1459,3135,1976,4274
28104,Reigning Beauty,chinese,2,2,235.7,11925,2000,2000,104,11342,10426
28106,Kinjirareta Alpha No Ko Chikai No Hachimitsu Madeleine,japanese,3.7,22,118.5,9512,3168,5639,609,6865,9240
28108,I Heard Your Heart Is Still Pounding Only for Me,chinese,1.5,15,1.7,7972,6650,2000,234,9798,9946
28116,S*ave Harem in the Labyrinth of the Other World (LN),japanese,3.6,98,2.2,1023,208,276,3562,1670,148
28120,Love Like Arsenic,chinese,1.2,12,45.9,10313,2000,2000,155,10700,7992
28125,The Great Planned Marriage: Becoming A Splendid Princess,chinese,3.2,30,39.5,4777,2000,5639,750,6143,8000
28127,A Cure for the Dark Heart,chinese,4,72,46.1,4372,6578,3389,1499,4066,3520
28129,The Reborn Girl’s Path to Glory,chinese,3.5,29,37.9,5373,6650,6928,587,6980,9408
28131,World-shaking First Daughter: Powerful Medical Princess,chinese,2.8,20,42.9,7256,2000,2000,380,8363,9254
28133,Real Empress from a Noble Family,chinese,2.9,16,42.7,7190,2000,2000,375,8423,10984
28135,Reborn Lady: Unparalleled Daughter of Concubine,chinese,3.2,22,43.1,7049,2000,2000,461,7765,10601
28139,It Always Feels Like Someone is Trying to Steal the Consignment,chinese,3.7,32,702,8125,2000,2000,370,8463,8736
28141,Kyoukai Senjou no Horizon – Girls Talk,japanese,3.6,5,45.2,11496,2000,2000,136,10931,9062
28145,Thunderclaps: Four Angels Trapped in a S*xual Prison,japanese,2.2,18,16.1,9552,2000,6928,408,8138,9061
28147,Flirting S*x Train: I Accidentally Got on the Women-Only Car and S*x is Allowed!?,japanese,3.3,79,117.5,5453,3746,2612,1600,3865,3975
28149,Transmigration & Reverse Transmigration,chinese,3.1,11,55.1,10035,2000,2000,251,9603,5390
28153,Clear and Muddy Loss of Love,chinese,4.6,177,42.9,2842,2174,4246,2489,2554,2877
28156,The Flustering Sound of the Pipa from the Hallway,chinese,4.2,27,705,8135,2000,2000,450,7833,10099
28162,Predatory Marriage,korean,4.4,410,2.1,509,168,79,9753,247,132
28164,The Duke’s Imposter Sister,korean,4,174,35.3,1421,1420,1593,6422,664,852
28167,Gear Drive,japanese,4,18,0.4,7795,1241,621,305,9030,1894
28177,I Raised A Sick And Weak Prince,chinese,4.7,190,10.3,1977,1353,548,3659,1615,1362
28179,High Energy QR Code,chinese,4.6,144,13.4,2117,1938,2698,4113,1382,5203
28181,Pretty Her,chinese,3.3,12,352,10046,2000,2000,305,9034,8743
28183,Reborn As The Villain President’s Lover,chinese,4.1,231,9.4,879,1692,677,6589,634,1835
28186,Forest of Drizzling Rain,japanese,4.3,3,42.1,11297,2000,2000,156,10694,10604
28188,A Weasel Pays a New Year’s Visit to a Chicken,chinese,3.7,30,2000,7458,2000,2000,291,9182,6679
28191,Dog S*ave,chinese,3.8,80,0.8,4730,3474,4130,1523,4001,4261
28192,Watashi no Shiawase na Kekkon (WN),japanese,4.4,104,175,2633,3382,6928,2851,2211,4820
28196,Previous Life was Sword Emperor. This Life is Trash Prince.,japanese,3.6,212,14,942,3698,2579,3908,1468,1171
28201,"The Strongest Black Knight (♂️), Changing Job Into a Battle Maid (♀️)",japanese,4,23,702,9087,2000,6928,503,7454,8739
28204,Men of the Harem,korean,4.3,57,8.5,5213,2897,2000,1633,3799,9050
28206,Inadvertently Invincible,chinese,3.2,51,3.3,3331,2655,3964,848,5716,6848
28209,"Saving You, Villain",korean,3.9,74,58.4,4078,3644,1857,3456,1729,3885
28217,After the Cannon Fodder’s Rebirth,chinese,4.1,66,58.4,3366,2520,2115,2130,2988,1618
28220,I am a Slime,japanese,4.3,110,2000,4513,5170,4355,1594,3875,7068
28223,It’s Over! The Major General is Bent!,chinese,4.2,46,42.9,4398,6643,2638,1787,3507,2672
28233,The Legitimate Daughter Doesn’t Care!,chinese,4.3,367,1.7,347,164,126,6390,667,107
